2026-01-30 01:34:51 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:34:56 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:02 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:07 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:12 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:17 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:22 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:27 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:32 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:38 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:43 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:48 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:53 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:35:58 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:03 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:08 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:13 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:18 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:24 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:29 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:34 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:36:39 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
